,date,plume_lat,plume_lon,emission,source_type,ipcc
2670,20/07/2021,40.4028972,-104.94279,103.3758151,well,1B2 Oil & Natural Gas
2671,07/08/2021,31.977846,-103.7559,134.3839463,compressor,1B2 Oil & Natural Gas
2672,26/07/2021,31.8168799,-101.78024,68.83090578,processing,1B2 Oil & Natural Gas
2673,05/08/2021,31.872606,-103.85963,198.7566626,processing,1B2 Oil & Natural Gas
2674,19/07/2021,40.1991797,-104.49471,99.23799719,well,1B2 Oil & Natural Gas
2675,04/08/2021,31.994571,-101.78707,84.3093615,pipeline,1B2 Oil & Natural Gas
2676,06/08/2021,32.0771151,-103.53363,125.8911069,compressor,1B2 Oil & Natural Gas
2677,26/07/2021,32.373733,-101.84741,178.0278506,compressor,1B2 Oil & Natural Gas
2678,09/08/2021,31.883855,-103.52046,254.3668588,pipeline,1B2 Oil & Natural Gas
2679,10/08/2021,31.6905661,-102.17838,342.3084876,compressor,1B2 Oil & Natural Gas
2680,27/07/2021,31.7941716,-103.447,224.9222344,well,1B2 Oil & Natural Gas
2681,07/08/2021,32.065139,-103.64946,395.5898522,,
2682,27/07/2021,31.747902,-103.40838,264.8470421,compressor,1B2 Oil & Natural Gas
2683,18/07/2021,40.4668125,-104.87038,517.1924228,well,1B2 Oil & Natural Gas
2684,04/08/2021,31.791924,-103.45341,115.333236,well,1B2 Oil & Natural Gas
2685,15/07/2021,40.3283603,-104.8092,165.842621,tank,1B2 Oil & Natural Gas
2686,09/08/2021,31.671801,-103.54734,1847.009659,pipeline,1B2 Oil & Natural Gas
2687,27/07/2021,32.058485,-103.4323,116.6900756,pipeline,1B2 Oil & Natural Gas
2688,29/07/2021,32.1606199,-103.74579,267.3801425,,
2689,07/08/2021,32.150481,-103.53671,258.6164273,compressor,1B2 Oil & Natural Gas
2690,31/07/2021,31.6285174,-102.20027,262.4919587,compressor,1B2 Oil & Natural Gas
2691,26/05/2021,41.556905,-76.188139,2562.660087,tank,1B2 Oil & Natural Gas
2692,16/07/2021,40.433918,-104.802,87.75291001,well,1B2 Oil & Natural Gas
2693,08/08/2021,31.749769,-101.80216,368.0008037,pipeline,1B2 Oil & Natural Gas
2694,29/04/2021,28.9988059,-89.959286,2866.090369,well,1B2 Oil & Natural Gas
2695,15/07/2021,40.297281,-104.62234,145.3791614,well,1B2 Oil & Natural Gas
